unknown_cluster_id,known_cluster_id,actor_label,weighted_similarity,base_similarity,evidence_features,confidence_0_1,confidence_percent,decision
0,11,Contagious Interview,0.0010288065843621398,0.0024691358024691358,1,0.0010288065843621398,0.1,Unknown/Low-confidence
0,12,Contagious Interview,0.0010288065843621398,0.0024691358024691358,1,0.0010288065843621398,0.1,Unknown/Low-confidence
0,18,Contagious Interview,0.0010288065843621398,0.0024691358024691358,1,0.0010288065843621398,0.1,Unknown/Low-confidence
0,22,Contagious Interview,0.0010162601626016261,0.0024390243902439024,1,0.0010162601626016261,0.1,Unknown/Low-confidence
0,2,GroozaV2,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
0,4,GhostSocks,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
0,5,Bitter,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
0,6,CopyCop,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
0,8,CopyCop,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
0,13,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
0,14,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
0,15,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
0,16,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
0,19,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
0,24,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
0,26,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
0,29,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
0,30,Laundry Bear,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,0,Silent Lynx,0.002970513119742902,0.002376410495794321,3,0.002970513119742902,0.3,Unknown/Low-confidence
1,1,Agenda,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,-1,Lampion,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,2,GroozaV2,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,3,GroozaV2,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,4,GhostSocks,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,5,Bitter,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,6,CopyCop,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,7,CopyCop,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,8,CopyCop,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,9,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,10,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,11,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,12,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,13,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,14,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,15,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,16,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
1,17,Contagious Interview,0.0,0.0,0,0.0,0.0,Unknown/Low-confidence
